Bitfeld,Registerbits,Feldbits,Kombination,PDFs,Anzahl PDFs
CLRROVRF,3,,3,rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
CLRSCDF,27:24,3:0,27:24 -> [3:0],rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,4
CLRSCDF,31:24,7:0,31:24 -> [7:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,11
CNVCNT,31:4,27:0,31:4 -> [27:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
DATMPX,13:12,1:0,13:12 -> [1:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
DATPACK,15:14,1:0,15:14 -> [1:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
DFEN,0,,0,rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
DFSDMEN,31,,31,rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
DTRBS,7:3,4:0,7:3 -> [4:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
EXCH,11:8,3:0,11:8 -> [3:0],rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,4
EXCH,15:8,7:0,15:8 -> [7:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,11
EXMAX,31:8,23:0,31:8 -> [23:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
EXMAXCH,1:0,1:0,1:0 -> [1:0],rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,4
EXMAXCH,2:0,2:0,2:0 -> [2:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,11
EXMIN,31:8,23:0,31:8 -> [23:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
EXMINCH,1:0,1:0,1:0 -> [1:0],rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,4
EXMINCH,2:0,2:0,2:0 -> [2:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,11
FAST,29,,29,rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
FORD,31:29,2:0,31:29 -> [2:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
FOSR,25:16,9:0,25:16 -> [9:0],rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf; rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf; rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,15
